id,date,name,abrv,primaryColor,logo,current_playoffs,current_round2,current_conf,current_final,current_win
14,2024-10-27,Minnesota Wild,MIN,#154734,/Images/wild.png,90.5%,51.1%,27.0%,14.6%,7.8%
15,2024-10-27,Montreal Canadiens,MTL,#AF1E2D,/Images/canadiens.png,3.3%,0.8%,0.2%,0.04%,0.01%
16,2024-10-27,Nashville Predators,NSH,#FFB81C,/Images/predators.png,31.9%,13.7%,6.0%,2.6%,1.2%
17,2024-10-27,New Jersey Devils,NJD,#CE1126,/Images/devils.png,74.6%,36.4%,18.4%,9.0%,4.3%
18,2024-10-27,New York Islanders,NYI,#00539b,/Images/islanders.png,56.3%,24.8%,11.4%,5.0%,2.2%
19,2024-10-27,New York Rangers,NYR,#0038A8,/Images/rangers.png,90.3%,48.3%,25.3%,12.8%,6.4%
20,2024-10-27,Ottawa Senators,OTT,#DA1A32,/Images/senators.png,57.7%,27.3%,12.6%,5.8%,2.6%
21,2024-10-27,Philadelphia Flyers,PHI,#F74902,/Images/flyers.png,12.1%,3.9%,1.4%,0.5%,0.1%
22,2024-10-27,Pittsburgh Penguins,PIT,#FCB514,/Images/penguins.png,6.8%,2.0%,0.7%,0.2%,0.1%
23,2024-10-27,San Jose Sharks,SJS,#006D75,/Images/sharks.png,0.2%,0.03%,0.0%,0.0%,0.0%
24,2024-10-27,Seattle Kraken,SEA,#68a2b9,/Images/kraken.png,26.4%,9.3%,3.5%,1.3%,0.5%
25,2024-10-27,St. Louis Blues,STL,#002F87,/Images/blues.png,20.4%,6.6%,2.2%,0.7%,0.2%
26,2024-10-27,Tampa Bay Lightning,TBL,#002868,/Images/lightning.png,69.8%,35.6%,17.3%,8.3%,3.8%
27,2024-10-27,Toronto Maple Leafs,TOR,#00205b,/Images/leafs.png,71.3%,35.3%,16.6%,7.8%,3.5%
28,2024-10-27,Utah Hockey Club,UTA,#5c88da,/Images/utah.png,29.4%,11.0%,4.3%,1.5%,0.6%
29,2024-10-27,Vancouver Canucks,VAN,#00205B,/Images/canucks.png,94.0%,57.1%,32.7%,18.6%,10.4%
30,2024-10-27,Vegas Golden Knights,VGK,#B4975A,/Images/golden knights.png,52.6%,19.7%,7.8%,2.9%,1.1%
31,2024-10-27,Washington Capitals,WSH,#041E42,/Images/capitals.png,79.0%,35.9%,16.9%,7.6%,3.5%
32,2024-10-27,Winnipeg Jets,WPG,#004C97,/Images/jets.png,91.4%,49.1%,24.6%,12.3%,6.3%
1,2024-11-03,Anaheim Ducks,ANA,#00685e,/Images/ducks.png,1.2%,0.2%,0.1%,0.02%,0.0%
2,2024-11-03,Boston Bruins,BOS,#FFB81C,/Images/bruins.png,47.7%,22.1%,10.0%,4.6%,2.0%
3,2024-11-03,Buffalo Sabres,BUF,#003087,/Images/sabres.png,13.2%,4.6%,1.6%,0.5%,0.2%
4,2024-11-03,Calgary Flames,CGY,#D2001C,/Images/flames.png,43.2%,15.7%,6.1%,2.3%,0.9%
5,2024-11-03,Carolina Hurricanes,CAR,#CE1126,/Images/canes.png,96.1%,58.4%,34.0%,19.9%,11.1%
6,2024-11-03,Chicago Blackhawks,CHI,#CF0A2C,/Images/blackhawks.png,6.2%,1.7%,0.5%,0.1%,0.04%
7,2024-11-03,Colorado Avalanche,COL,#6F263D,/Images/avalanche.png,45.7%,21.0%,9.8%,4.5%,2.1%
8,2024-11-03,Columbus Blue Jackets,CBJ,#002654,/Images/blue jackets.png,1.9%,0.4%,0.1%,0.01%,0.0%
9,2024-11-03,Dallas Stars,DAL,#006847,/Images/stars.png,84.5%,43.2%,21.5%,10.5%,5.2%
10,2024-11-03,Detroit Red Wings,DET,#ce1126,/Images/red wings.png,17.1%,6.0%,2.2%,0.8%,0.3%
11,2024-11-03,Edmonton Oilers,EDM,#FF4C00,/Images/oilers.png,81.6%,44.5%,23.8%,12.4%,6.5%
12,2024-11-03,Florida Panthers,FLA,#c8102E,/Images/panthers.png,94.9%,55.9%,30.6%,17.0%,9.1%
13,2024-11-03,Los Angeles Kings,LAK,#A2AAAD,/Images/kings.png,86.8%,48.9%,26.5%,14.0%,7.3%
14,2024-11-03,Minnesota Wild,MIN,#154734,/Images/wild.png,94.4%,54.0%,28.6%,15.4%,8.2%
15,2024-11-03,Montreal Canadiens,MTL,#AF1E2D,/Images/canadiens.png,1.9%,0.4%,0.1%,0.03%,0.0%
16,2024-11-03,Nashville Predators,NSH,#FFB81C,/Images/predators.png,34.2%,14.7%,6.5%,2.8%,1.2%
17,2024-11-03,New Jersey Devils,NJD,#CE1126,/Images/devils.png,77.1%,37.4%,18.9%,9.2%,4.4%
18,2024-11-03,New York Islanders,NYI,#00539b,/Images/islanders.png,47.3%,20.6%,9.4%,4.2%,1.9%
19,2024-11-03,New York Rangers,NYR,#0038A8,/Images/rangers.png,90.1%,47.4%,24.9%,12.8%,6.4%
20,2024-11-03,Ottawa Senators,OTT,#DA1A32,/Images/senators.png,56.8%,26.7%,12.2%,5.6%,2.5%
21,2024-11-03,Philadelphia Flyers,PHI,#F74902,/Images/flyers.png,11.1%,3.6%,1.2%,0.4%,0.1%
22,2024-11-03,Pittsburgh Penguins,PIT,#FCB514,/Images/penguins.png,7.5%,2.2%,0.7%,0.2%,0.1%
23,2024-11-03,San Jose Sharks,SJS,#006D75,/Images/sharks.png,0.3%,0.1%,0.01%,0.0%,0.0%
24,2024-11-03,Seattle Kraken,SEA,#68a2b9,/Images/kraken.png,23.5%,8.2%,3.2%,1.1%,0.4%
25,2024-11-03,St. Louis Blues,STL,#002F87,/Images/blues.png,18.6%,6.1%,2.0%,0.6%,0.2%
26,2024-11-03,Tampa Bay Lightning,TBL,#002868,/Images/lightning.png,75.7%,38.2%,18.4%,8.7%,4.1%
27,2024-11-03,Toronto Maple Leafs,TOR,#00205b,/Images/leafs.png,74.7%,36.6%,17.1%,7.9%,3.6%
28,2024-11-03,Utah Hockey Club,UTA,#5c88da,/Images/utah.png,33.2%,12.4%,4.8%,1.8%,0.6%
29,2024-11-03,Vancouver Canucks,VAN,#00205B,/Images/canucks.png,94.0%,56.8%,32.6%,18.3%,10.3%
30,2024-11-03,Vegas Golden Knights,VGK,#B4975A,/Images/golden knights.png,59.2%,22.0%,8.7%,3.3%,1.3%
31,2024-11-03,Washington Capitals,WSH,#041E42,/Images/capitals.png,86.7%,39.7%,18.7%,8.3%,3.6%
32,2024-11-03,Winnipeg Jets,WPG,#004C97,/Images/jets.png,93.4%,50.5%,25.6%,12.8%,6.4%
1,2024-11-10,Anaheim Ducks,ANA,#00685e,/Images/ducks.png,0.6%,0.1%,0.03%,0.00%,0.00%
2,2024-11-10,Boston Bruins,BOS,#FFB81C,/Images/bruins.png,59.7%,28.5%,15.3%,7.2%,4.2%
3,2024-11-10,Buffalo Sabres,BUF,#003087,/Images/sabres.png,17.4%,4.7%,1.7%,0.5%,0.2%
4,2024-11-10,Calgary Flames,CGY,#D2001C,/Images/flames.png,33.8%,10.6%,3.8%,1.2%,0.3%
5,2024-11-10,Carolina Hurricanes,CAR,#CE1126,/Images/canes.png,95.5%,56.1%,28.8%,15.5%,9.7%
6,2024-11-10,Chicago Blackhawks,CHI,#CF0A2C,/Images/blackhawks.png,1.8%,0.4%,0.1%,0.1%,0.01%
7,2024-11-10,Colorado Avalanche,COL,#6F263D,/Images/avalanche.png,47.6%,16.4%,6.3%,2.6%,0.8%
8,2024-11-10,Columbus Blue Jackets,CBJ,#002654,/Images/blue jackets.png,0.1%,0.02%,0.01%,0.00%,0.00%
9,2024-11-10,Dallas Stars,DAL,#006847,/Images/stars.png,95.6%,58.5%,32.8%,18.5%,8.3%
10,2024-11-10,Detroit Red Wings,DET,#ce1126,/Images/red wings.png,13.8%,3.9%,1.4%,0.4%,0.2%
11,2024-11-10,Edmonton Oilers,EDM,#FF4C00,/Images/oilers.png,65.5%,30.8%,14.8%,6.4%,2.2%
12,2024-11-10,Florida Panthers,FLA,#c8102E,/Images/panthers.png,97.8%,63.1%,37.4%,22.1%,14.3%
13,2024-11-10,Los Angeles Kings,LAK,#A2AAAD,/Images/kings.png,84.5%,48.6%,25.2%,12.5%,4.9%
14,2024-11-10,Minnesota Wild,MIN,#154734,/Images/wild.png,93.7%,42.9%,19.8%,8.7%,3.1%
15,2024-11-10,Montreal Canadiens,MTL,#AF1E2D,/Images/canadiens.png,0.3%,0.1%,0.01%,0.00%,0.00%
16,2024-11-10,Nashville Predators,NSH,#FFB81C,/Images/predators.png,39.0%,16.0%,7.6%,3.9%,1.4%
17,2024-11-10,New Jersey Devils,NJD,#CE1126,/Images/devils.png,91.2%,48.7%,23.2%,11.6%,7.1%
18,2024-11-10,New York Islanders,NYI,#00539b,/Images/islanders.png,53.2%,20.3%,8.2%,3.7%,1.8%
19,2024-11-10,New York Rangers,NYR,#0038A8,/Images/rangers.png,93.7%,51.9%,24.9%,12.8%,7.8%
20,2024-11-10,Ottawa Senators,OTT,#DA1A32,/Images/senators.png,49.9%,21.5%,10.6%,4.7%,2.5%
21,2024-11-10,Philadelphia Flyers,PHI,#F74902,/Images/flyers.png,2.1%,0.3%,0.1%,0.03%,0.01%
22,2024-11-10,Pittsburgh Penguins,PIT,#FCB514,/Images/penguins.png,4.5%,1.1%,0.4%,0.1%,0.04%
23,2024-11-10,San Jose Sharks,SJS,#006D75,/Images/sharks.png,0.01%,0.00%,0.00%,0.00%,0.00%
24,2024-11-10,Seattle Kraken,SEA,#68a2b9,/Images/kraken.png,22.2%,7.9%,3.1%,1.1%,0.3%
25,2024-11-10,St. Louis Blues,STL,#002F87,/Images/blues.png,19.9%,5.5%,1.9%,0.7%,0.2%
26,2024-11-10,Tampa Bay Lightning,TBL,#002868,/Images/lightning.png,57.0%,25.7%,13.1%,5.9%,3.4%
27,2024-11-10,Toronto Maple Leafs,TOR,#00205b,/Images/leafs.png,87.6%,48.2%,26.2%,12.3%,7.4%
28,2024-11-10,Utah Hockey Club,UTA,#5c88da,/Images/utah.png,32.9%,11.1%,4.4%,1.8%,0.6%
29,2024-11-10,Vancouver Canucks,VAN,#00205B,/Images/canucks.png,93.7%,59.6%,31.6%,17.3%,7.3%
30,2024-11-10,Vegas Golden Knights,VGK,#B4975A,/Images/golden knights.png,70.2%,28.5%,12.1%,4.4%,1.2%
31,2024-11-10,Washington Capitals,WSH,#041E42,/Images/capitals.png,76.2%,26.0%,8.9%,3.3%,1.5%
32,2024-11-10,Winnipeg Jets,WPG,#004C97,/Images/jets.png,99.2%,63.2%,36.4%,20.9%,9.3%
1,2024-11-17,Anaheim Ducks,ANA,#00685e,/Images/ducks.png,1.3%,0.3%,0.1%,0.02%,0.00%
2,2024-11-17,Boston Bruins,BOS,#FFB81C,/Images/bruins.png,53.7%,26.6%,13.1%,6.2%,3.2%
3,2024-11-17,Buffalo Sabres,BUF,#003087,/Images/sabres.png,12.5%,4.1%,1.4%,0.5%,0.2%
4,2024-11-17,Calgary Flames,CGY,#D2001C,/Images/flames.png,29.2%,8.7%,2.7%,0.8%,0.2%
5,2024-11-17,Carolina Hurricanes,CAR,#CE1126,/Images/canes.png,93.7%,55.4%,31.9%,18.2%,10.7%
6,2024-11-17,Chicago Blackhawks,CHI,#CF0A2C,/Images/blackhawks.png,1.6%,0.5%,0.1%,0.04%,0.01%
7,2024-11-17,Colorado Avalanche,COL,#6F263D,/Images/avalanche.png,54.0%,21.7%,9.3%,3.9%,1.5%
8,2024-11-17,Columbus Blue Jackets,CBJ,#002654,/Images/blue jackets.png,0.3%,0.04%,0.01%,0.00%,0.00%
9,2024-11-17,Dallas Stars,DAL,#006847,/Images/stars.png,95.0%,53.2%,29.1%,15.6%,7.6%
10,2024-11-17,Detroit Red Wings,DET,#ce1126,/Images/red wings.png,5.4%,1.4%,0.4%,0.1%,0.03%
11,2024-11-17,Edmonton Oilers,EDM,#FF4C00,/Images/oilers.png,82.6%,44.9%,22.6%,11.3%,5.2%
12,2024-11-17,Florida Panthers,FLA,#c8102E,/Images/panthers.png,95.6%,56.3%,30.9%,17.4%,10.2%
13,2024-11-17,Los Angeles Kings,LAK,#A2AAAD,/Images/kings.png,82.0%,45.3%,23.5%,12.2%,5.7%
14,2024-11-17,Minnesota Wild,MIN,#154734,/Images/wild.png,93.7%,47.0%,23.9%,11.8%,5.2%
15,2024-11-17,Montreal Canadiens,MTL,#AF1E2D,/Images/canadiens.png,0.5%,0.1%,0.03%,0.01%,0.00%
16,2024-11-17,Nashville Predators,NSH,#FFB81C,/Images/predators.png,26.3%,11.8%,5.6%,2.6%,1.1%
17,2024-11-17,New Jersey Devils,NJD,#CE1126,/Images/devils.png,90.2%,48.9%,26.1%,13.6%,7.7%
18,2024-11-17,New York Islanders,NYI,#00539b,/Images/islanders.png,50.1%,22.0%,10.0%,4.6%,2.3%
19,2024-11-17,New York Rangers,NYR,#0038A8,/Images/rangers.png,88.6%,45.8%,23.1%,11.4%,6.1%
20,2024-11-17,Ottawa Senators,OTT,#DA1A32,/Images/senators.png,47.4%,20.8%,9.2%,4.0%,1.9%
21,2024-11-17,Philadelphia Flyers,PHI,#F74902,/Images/flyers.png,18.2%,6.0%,2.1%,0.7%,0.3%
22,2024-11-17,Pittsburgh Penguins,PIT,#FCB514,/Images/penguins.png,3.0%,0.9%,0.3%,0.1%,0.02%
23,2024-11-17,San Jose Sharks,SJS,#006D75,/Images/sharks.png,0.2%,0.04%,0.00%,0.00%,0.00%
24,2024-11-17,Seattle Kraken,SEA,#68a2b9,/Images/kraken.png,29.8%,11.0%,4.2%,1.6%,0.5%
